state,district,party,candidate,votes
AL,1st District,REP,Bradley Byrne,0
AL,2nd District,REP,Martha Roby,134450
AL,2nd District,DEM,Nathan Mathis,111640
AL,3rd District,REP,Mike Rogers,190724
AL,3rd District,REP,Mike Rogers,190724
AL,3rd District,DEM,Jesse Smith,93567
AL,4th District,REP,Robert Aderholt,0
AL,5th District,REP,Mo Brooks,204791
AL,5th District,DEM,Will Boyd,101577
AL,6th District,REP,Gary Palmer,240897
AL,6th District,DEM,David Putman,81296
AL,7th District,DEM,Terri Sewell,0
AK,1st District,REP,Don Young,125729
AK,1st District,DEM,Steve Lindbeck,90784
AK,1st District,Other,Jim McDermott,25104
AK,1st District,Other,Bernie Souphanavong,7158
AZ,1st District,DEM,Tom O'Halleran,117048
AZ,1st District,REP,Paul Babeu,100236
AZ,1st District,Other,Ray Parrish,13122
AZ,2nd District,REP,Martha McSally,157677
AZ,2nd District,DEM,Matt Heinz,120572
AZ,3rd District,DEM,Raul Grijalva,0
AZ,4th District,REP,Paul Gosar,171901
AZ,4th District,DEM,Mike Weisser,68460
AZ,5th District,REP,Andy Biggs,157980
AZ,5th District,DEM,Talia Fuentes,92225
AZ,6th District,REP,David Schweikert,158978
AZ,6th District,DEM,John Williamson,99008
AZ,7th District,DEM,Ruben Gallego,88219
AZ,7th District,REP,Eve Nunez,30040
AZ,8th District,REP,Trent Franks,165593
AZ,8th District,Other,Mark Salazar,75963
AZ,9th District,DEM,Kyrsten Sinema,132281
AZ,9th District,REP,Dave Giles,84137
AR,1st District,REP,Rick Crawford,183068
AR,1st District,Other,Mark West,56200
AR,2nd District,REP,French Hill,176100
AR,2nd District,DEM,Dianne Curry,111049
AR,2nd District,Other,Chris Hayes,14287
AR,3rd District,REP,Steve Womack,214268
AR,3rd District,Other,Steve Isaacson,62793
AR,4th District,REP,Bruce Westerman,181921
AR,4th District,Other,Kerry Hicks,60969
CA,1st District,REP,Doug La Malfa,164907
CA,1st District,DEM,Jim Reed,112183
CA,2nd District,DEM,Jared Huffman,160561
CA,2nd District,REP,Dale Mensing,49243
CA,3rd District,DEM,John Garamendi,125824
CA,3rd District,REP,Eugene Cleek,90722
CA,4th District,REP,Tom McClintock,196613
CA,4th District,DEM,Robert Derlet,116541
CA,5th District,DEM,Charles Thompson,171969
CA,5th District,REP,Carlos Santamaria,50881
CA,6th District,DEM,Doris Matsui,145704
CA,6th District,REP,Robert Evans,47926
CA,7th District,DEM,Ami Bera,129064
CA,7th District,REP,Scott Jones,123056
CA,8th District,REP,Paul Cook,127179
CA,8th District,DEM,Rita Ramirez,74905
CA,9th District,DEM,Jerry McNerney,93065
CA,9th District,REP,Tony Amador,69727
CA,10th District,REP,Jeff Denham,105051
CA,10th District,DEM,Michael Eggman,96196
CA,11th District,DEM,Mark DeSaulnier,194345
CA,11th District,REP,Roger Petersen,76473
CA,12th District,DEM,Nancy Pelosi,250378
CA,12th District,Other,Preston Picus,58577
CA,13th District,DEM,Barbara Lee,277390
CA,13th District,REP,Sue Caro,28413
CA,14th District,DEM,Jackie Speier,190909
CA,14th District,REP,Angel Cardenas,44944
CA,15th District,DEM,Eric Swalwell,188179
CA,15th District,REP,Danny Turner,66959
CA,16th District,DEM,Jim Costa,72111
CA,16th District,REP,Johnny Tacherra,52570
CA,17th District,DEM,Ro Khanna,135607
CA,17th District,DEM,Mike Honda,86505
CA,18th District,DEM,Anna Eshoo,215333
CA,18th District,REP,Richard Fox,87157
CA,19th District,DEM,Zoe Lofgren,171688
CA,19th District,REP,Burt Lancaster,60420
CA,20th District,DEM,Jimmy Panetta,143095
CA,20th District,REP,Casey Lucius,59243
CA,21st District,REP,David Valadao,67923
CA,21st District,DEM,Emilio Huerta,49220
CA,22nd District,REP,Devin Nunes,131066
CA,22nd District,DEM,Louie Campos,60633
CA,23rd District,REP,Kevin McCarthy,148009
CA,23rd District,DEM,Wendy Reed,62687
CA,24th District,DEM,Salud Carbajal,153000
CA,24th District,REP,Justin Fareed,133093
CA,25th District,REP,Steve Knight,112768
CA,25th District,DEM,Bryan Caforio,95296
CA,26th District,DEM,Julia Brownley,148550
CA,26th District,REP,Rafael Dagnesses,99597
CA,27th District,DEM,Judy Chu,133641
CA,27th District,REP,Jack Orswell,67284
CA,28th District,DEM,Adam Schiff,168082
CA,28th District,REP,Lenore Solis,47619
CA,29th District,DEM,Tony Cardenas,98879
CA,29th District,DEM,Richard Alarcon,32656
